name,bigWig,data_type,cell_type,antibody,header
wgEncodeSydhTfbsMelCtcfsc15914IggrabSig,wgEncodeSydhTfbsMelCtcfsc15914IggrabSig.bigWig,ChipSeq,MEL,CTCF_(SC-15914),wgEncodeSydhTfbsMelCtcfsc15914IggrabSig
wgEncodeSydhTfbsMelE2f4IggrabSig,wgEncodeSydhTfbsMelE2f4IggrabSig.bigWig,ChipSeq,MEL,E2F4,wgEncodeSydhTfbsMelE2f4IggrabSig
wgEncodeSydhTfbsMelEts1IggrabSig,wgEncodeSydhTfbsMelEts1IggrabSig.bigWig,ChipSeq,MEL,ETS1,wgEncodeSydhTfbsMelEts1IggrabSig
wgEncodeSydhTfbsMelGata1Dm2p5dStdSig,wgEncodeSydhTfbsMelGata1Dm2p5dStdSig.bigWig,ChipSeq,MEL,GATA-1,wgEncodeSydhTfbsMelGata1Dm2p5dStdSig
wgEncodeSydhTfbsMelGata1IggratSig,wgEncodeSydhTfbsMelGata1IggratSig.bigWig,ChipSeq,MEL,GATA-1,wgEncodeSydhTfbsMelGata1IggratSig
wgEncodeSydhTfbsMelGcn5IggrabSig,wgEncodeSydhTfbsMelGcn5IggrabSig.bigWig,ChipSeq,MEL,GCN5,wgEncodeSydhTfbsMelGcn5IggrabSig
wgEncodeSydhTfbsMelHcfc1nb10068209IggrabSig,wgEncodeSydhTfbsMelHcfc1nb10068209IggrabSig.bigWig,ChipSeq,MEL,HCFC1_(NB100-68209),wgEncodeSydhTfbsMelHcfc1nb10068209IggrabSig
wgEncodeSydhTfbsMelJundIggrabSig,wgEncodeSydhTfbsMelJundIggrabSig.bigWig,ChipSeq,MEL,JunD,wgEncodeSydhTfbsMelJundIggrabSig
wgEncodeSydhTfbsMelMafkab50322IggrabSig,wgEncodeSydhTfbsMelMafkab50322IggrabSig.bigWig,ChipSeq,MEL,MafK_(ab50322),wgEncodeSydhTfbsMelMafkab50322IggrabSig
wgEncodeSydhTfbsMelMafkDm2p5dStdSig,wgEncodeSydhTfbsMelMafkDm2p5dStdSig.bigWig,ChipSeq,MEL,MafK_(ab50322),wgEncodeSydhTfbsMelMafkDm2p5dStdSig
wgEncodeSydhTfbsMelMaxIggrabSig,wgEncodeSydhTfbsMelMaxIggrabSig.bigWig,ChipSeq,MEL,Max,wgEncodeSydhTfbsMelMaxIggrabSig
wgEncodeSydhTfbsMelMazab85725IggrabSig,wgEncodeSydhTfbsMelMazab85725IggrabSig.bigWig,ChipSeq,MEL,MAZ_(ab85725),wgEncodeSydhTfbsMelMazab85725IggrabSig
wgEncodeSydhTfbsMelMxi1af4185IggrabSig,wgEncodeSydhTfbsMelMxi1af4185IggrabSig.bigWig,ChipSeq,MEL,Mxi1_(AF4185),wgEncodeSydhTfbsMelMxi1af4185IggrabSig
wgEncodeSydhTfbsMelNelfeIggrabSig,wgEncodeSydhTfbsMelNelfeIggrabSig.bigWig,ChipSeq,MEL,NELFe,wgEncodeSydhTfbsMelNelfeIggrabSig
wgEncodeSydhTfbsMelNrf2IggrabSig,wgEncodeSydhTfbsMelNrf2IggrabSig.bigWig,ChipSeq,MEL,Nrf2,wgEncodeSydhTfbsMelNrf2IggrabSig
wgEncodeSydhTfbsMelP300IggrabSigV2,wgEncodeSydhTfbsMelP300IggrabSigV2.bigWig,ChipSeq,MEL,p300,wgEncodeSydhTfbsMelP300IggrabSigV2
wgEncodeSydhTfbsMelP300sc584IggrabSig,wgEncodeSydhTfbsMelP300sc584IggrabSig.bigWig,ChipSeq,MEL,p300_(SC-584),wgEncodeSydhTfbsMelP300sc584IggrabSig
wgEncodeSydhTfbsMelPol2Dm2p5dIggrabSig,wgEncodeSydhTfbsMelPol2Dm2p5dIggrabSig.bigWig,ChipSeq,MEL,Pol2,wgEncodeSydhTfbsMelPol2Dm2p5dIggrabSig
wgEncodeSydhTfbsMelPol2IggmusSig,wgEncodeSydhTfbsMelPol2IggmusSig.bigWig,ChipSeq,MEL,Pol2,wgEncodeSydhTfbsMelPol2IggmusSig
wgEncodeSydhTfbsMelPol2s2IggrabSig,wgEncodeSydhTfbsMelPol2s2IggrabSig.bigWig,ChipSeq,MEL,Pol2(phosphoS2),wgEncodeSydhTfbsMelPol2s2IggrabSig
wgEncodeSydhTfbsMelRad21Dm2p5dIggrabSig,wgEncodeSydhTfbsMelRad21Dm2p5dIggrabSig.bigWig,ChipSeq,MEL,Rad21,wgEncodeSydhTfbsMelRad21Dm2p5dIggrabSig
wgEncodeSydhTfbsMelRad21IggrabSig,wgEncodeSydhTfbsMelRad21IggrabSig.bigWig,ChipSeq,MEL,Rad21,wgEncodeSydhTfbsMelRad21IggrabSig
wgEncodeSydhTfbsMelSin3anb6001263IggrabSig,wgEncodeSydhTfbsMelSin3anb6001263IggrabSig.bigWig,ChipSeq,MEL,SIN3A_(NB600-1263),wgEncodeSydhTfbsMelSin3anb6001263IggrabSig
wgEncodeSydhTfbsMelSmc3ab9263IggrabSig,wgEncodeSydhTfbsMelSmc3ab9263IggrabSig.bigWig,ChipSeq,MEL,SMC3_(ab9263),wgEncodeSydhTfbsMelSmc3ab9263IggrabSig
wgEncodeSydhTfbsMelTbpIggmusSig,wgEncodeSydhTfbsMelTbpIggmusSig.bigWig,ChipSeq,MEL,TBP,wgEncodeSydhTfbsMelTbpIggmusSig
wgEncodeSydhTfbsMelUbfsc13125IggmusSig,wgEncodeSydhTfbsMelUbfsc13125IggmusSig.bigWig,ChipSeq,MEL,UBF_(sc-13125),wgEncodeSydhTfbsMelUbfsc13125IggmusSig
wgEncodeSydhTfbsMelUsf2IggmusSig,wgEncodeSydhTfbsMelUsf2IggmusSig.bigWig,ChipSeq,MEL,USF2,wgEncodeSydhTfbsMelUsf2IggmusSig
wgEncodeSydhTfbsMelUsf2IggrabSig,wgEncodeSydhTfbsMelUsf2IggrabSig.bigWig,ChipSeq,MEL,USF2,wgEncodeSydhTfbsMelUsf2IggrabSig
wgEncodeSydhTfbsMelZc3h11anb10074650IggrabSig,wgEncodeSydhTfbsMelZc3h11anb10074650IggrabSig.bigWig,ChipSeq,MEL,ZC3H11A_(NB100-74650),wgEncodeSydhTfbsMelZc3h11anb10074650IggrabSig
wgEncodeSydhTfbsMelZkscan1hpa006672IggrabSig,wgEncodeSydhTfbsMelZkscan1hpa006672IggrabSig.bigWig,ChipSeq,MEL,ZKSCAN1_(HPA006672),wgEncodeSydhTfbsMelZkscan1hpa006672IggrabSig
wgEncodeSydhTfbsMelZnf384hpa004051IggrabSig,wgEncodeSydhTfbsMelZnf384hpa004051IggrabSig.bigWig,ChipSeq,MEL,ZNF384_(HPA004051),wgEncodeSydhTfbsMelZnf384hpa004051IggrabSig
wgEncodeSydhTfbsMelZnfmizdcp1ab65767IggrabSig,wgEncodeSydhTfbsMelZnfmizdcp1ab65767IggrabSig.bigWig,ChipSeq,MEL,ZNF-MIZD-CP1_(ab65767),wgEncodeSydhTfbsMelZnfmizdcp1ab65767IggrabSig
